reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
af37f5d9-313a-47d6-8691-947743a5070f,Hendi Apay,https://play-lh.googleusercontent.com/a/ACg8ocJx5LkEGqTKrpqp2Z5ZDc9-DFCQCyp8dfmcYjdOdaJw2QrECw=mo,mantap,5,0,4.8.0,2025-10-08 06:59:53,"Hi Kak Hendi,

Terima kasih atas ratingnya :). Semoga Kredivo dapat memberikan kemudahan dan kenyamanan pembayaran transaksi Kakak. Jika memiliki kendala, silakan hubungi customer support di 08041573348 atau email ke support@kredivo.com menggunakan email yang terdaftar dan layanan live chat pada aplikasi.

Salam hangat,
Dina",2025-10-08 07:14:00,4.8.0
3128c940-c591-4909-bb7c-19552cbedffd,Sasmitha Pomuri,https://play-lh.googleusercontent.com/a-/ALV-UjWWEOqZiPWu67SVhvqlGoiPpfDk4TPSXuYf5lGLEpgrjVeyMp1o,Enak banget pake credivo mudah dan cepat dalam proses,5,0,,2025-10-08 06:58:34,"Hi Kak Sasmitha,

Terima kasih atas ratingnya :). Semoga Kredivo dapat memberikan kemudahan dan kenyamanan pembayaran transaksi Kakak. Jika memiliki kendala, silakan hubungi customer support di 08041573348 atau email ke support@kredivo.com menggunakan email yang terdaftar dan layanan live chat pada aplikasi.

Salam hangat,
Dina",2025-10-08 07:14:03,
f1973a07-b9f8-47c7-8491-4aa0cc924c75,Wahyono1 Yono,https://play-lh.googleusercontent.com/a/ACg8ocJhMkWAPhRVPoUCNPqR5Xvw4vtb9oaSZhMoCWy3RNX8Bd1MKQ=mo,sangat puass sekali,4,0,4.8.0,2025-10-08 06:47:43,"Hi Kak Wahyono1,

Terima kasih atas ratingnya :). Semoga Kredivo dapat memberikan kemudahan dan kenyamanan pembayaran transaksi Kakak. Jika memiliki kendala, silakan hubungi customer support di 08041573348 atau email ke support@kredivo.com menggunakan email yang terdaftar dan layanan live chat pada aplikasi.

Salam hangat,
Dina",2025-10-08 07:14:07,4.8.0
afb47693-038b-495d-a136-da082dcb57ef,Rohani Hakim,https://play-lh.googleusercontent.com/a/ACg8ocKA_7591KO-GCQQA-N6TsHOt13MEXefsXkgUbaNaHIkeKZYVQ=mo,good,4,0,4.8.0,2025-10-08 06:26:50,"Hi Kak Rohani,

Terima kasih atas ratingnya :). Semoga Kredivo dapat memberikan kemudahan dan kenyamanan pembayaran transaksi Kakak. Jika memiliki kendala, silakan hubungi customer support di 08041573348 atau email ke support@kredivo.com menggunakan email yang terdaftar dan layanan live chat pada aplikasi.

Salam hangat,
Dina",2025-10-08 06:43:34,4.8.0
1d17671f-7f40-4d90-8ac0-4bf71da930c8,Aminah Tusyadiah,https://play-lh.googleusercontent.com/a/ACg8ocISXbbXW1WCp_UYFCvGOvwVJ_0hz2SSF_IJ4l0SOo-jUztS2IQ=mo,pelayanannya bagus banget,5,0,4.8.0,2025-10-08 06:24:26,"Hi Kak Aminah,

Terima kasih atas ratingnya :). Semoga Kredivo dapat memberikan kemudahan dan kenyamanan pembayaran transaksi Kakak. Jika memiliki kendala, silakan hubungi customer support di 08041573348 atau email ke support@kredivo.com menggunakan email yang terdaftar dan layanan live chat pada aplikasi.

Salam hangat,
Dina",2025-10-08 06:43:28,4.8.0
81b2ae8c-6a97-4027-b27c-32e1d3642810,Saor Sihombing,https://play-lh.googleusercontent.com/a/ACg8ocIg75wwUtMAlTkHhzvYYKqQn_tHTkj73SK81dZeJ3UBbvJ-Jks=mo,sangat puas dan membantu banget,5,0,4.7.0,2025-10-08 06:08:52,"Hi Kak Saor,

Terima kasih atas ratingnya :). Semoga Kredivo dapat memberikan kemudahan dan kenyamanan pembayaran transaksi Kakak. Jika memiliki kendala, silakan hubungi customer support di 08041573348 atau email ke support@kredivo.com menggunakan email yang terdaftar dan layanan live chat pada aplikasi.

Salam hangat,
Dina",2025-10-08 06:35:32,4.7.0
f2c690cb-12c6-4fb5-92c7-1435d71c295a,Dar Yanto,https://play-lh.googleusercontent.com/a/ACg8ocJcJMcsCXiuDls_t1NcD1Zd_hmfo5kEQvi3jgNRFz9A5DeNqw=mo,skor naik bintang naik dah lama ga telat bayar skor netep aja,2,1,4.8.0,2025-10-08 05:53:44,"Hi Kak Yanto

Maaf atas kendalanya. Skor Kredit merupakan gambaran profil finansial pengguna selama menjadi pengguna Kredivo. Nilai skor berdasarkan pertimbangan Tim Analis. Kakak dapat menjaga skor dengan bertransaksi aktif dan tepat waktu dalam pembayaran tagihan. Info lanjut 08041573348

Salam hangat Fathan",2025-10-08 08:41:26,4.8.0
f3d7fb63-34bd-49b4-84a8-6f231632f43e,Adre Browser,https://play-lh.googleusercontent.com/a/ACg8ocJeQAUk1OA32_xGahvgJiY8u2yBolV3-0fFhY_YZjdItOrTkg=mo,good,5,0,,2025-10-08 05:50:11,"Hi Kak Adre,

Terima kasih atas ratingnya :). Semoga Kredivo dapat memberikan kemudahan dan kenyamanan pembayaran transaksi Kakak. Jika memiliki kendala, silakan hubungi customer support di 08041573348 atau email ke support@kredivo.com menggunakan email yang terdaftar dan layanan live chat pada aplikasi.

Salam hangat,
Dina",2025-10-08 06:03:41,
8c22c4da-a09b-422b-be80-86aa2d1eb08a,Iben Subendri,https://play-lh.googleusercontent.com/a/ACg8ocI0GL4h4mjtkAWb9yx6Zwk-yxarKG8IS25B1UGXmc2yG7R19v8=mo,"kenapa ya kk kredivo sekarang gk bisa buat belanja di lazada,yang sekarang harus pakai nya paylater,padahal gampangan pakai kredivo jadi biayanya ringan,tolang kk solusinya dong🥺🥺..",5,0,4.7.0,2025-10-08 05:49:08,"Hi Kak Iben,

Maaf atas ketidaknyamannya. Per tanggal 30 Juni 2025, transaksi Kredivo di Lazada melalui merchant checkout telah dinonaktifkan. Kakak tetap bisa berbelanja di Lazada menggunakan fitur Shop at Lazada yang tersedia di aplikasi Kredivo ya. Setiap transaksi

bersifat pengajuan. Info lanjut, hubungi 08041573348.

Salan hangat, Yana",2025-10-08 08:57:12,4.7.0
033d1d7c-9fae-4db6-89cf-705a16718c71,Yudhie Wahyudi,https://play-lh.googleusercontent.com/a/ACg8ocIN9vTTYE1Pvq58MQgbWlB6QWMhMS_gSpvKuF-Xwy2x3a7UrQ=mo,aman nyaman terkendali,5,0,4.8.0,2025-10-08 05:48:20,"Hi Kak Yudhie,

Terima kasih atas ratingnya :). Semoga Kredivo dapat memberikan kemudahan dan kenyamanan pembayaran transaksi Kakak. Jika memiliki kendala, silakan hubungi customer support di 08041573348 atau email ke support@kredivo.com menggunakan email yang terdaftar dan layanan live chat pada aplikasi.

Salam hangat,
Dina",2025-10-08 06:03:44,4.8.0
dda05bac-d5cd-49d7-aa46-efa84d21e379,Shanum Mayass,https://play-lh.googleusercontent.com/a/ACg8ocK-xlWGp7kz5SiVNTMkwHNEEdxKCU_QPU0P3li0QktQ_Y8Xcg=mo,"kenapa ajuan saya di tolak?... jahat banget ya, dikira saya ngga bisa bayar apa gimana?.... apa emang cuma buat orang2 yg terpandang dan kaya? sehingga orang kls menengah ke bawah ngga bisa!",1,0,,2025-10-08 05:47:06,"Hi Kak Shanum,

Maaf atas kendalanya. Jika pendaftaran akun Kredivo Kakak belum disetujui, silakan ajukan kembali 3 bulan kedepan dari pengajuan terakhir. Pastikan data sudah sesuai dengan syarat dan ketentuan karena nantinya akan dicek oleh tim kami. Info lebih lanjut, silakan hubungi kami di nomor 08041573348.

Salam hangat,

Garu",2025-10-08 09:04:22,
0c4ccc50-cf5d-4620-8296-d1dd3bc5ae67,Ryandi Pratama,https://play-lh.googleusercontent.com/a/ACg8ocJeR1DRwG_eym3n2EAcCGZedeKHWzYdm1nzCSRKfYDB84VThw=mo,kenapa ya saya sering minjam di kredivo tapi limit saya tidak naik naikk,4,0,4.8.0,2025-10-08 05:41:55,"Hi Kak Ryandi,

Maaf atas kendalanya. Jika Kakak ingin limit yang lebih besar bisa ajukan kenaikan limit melalui aplikasi dan pastikan sudah sebagai pengguna Premium lebih dari 3 bulan. Tingkatkan transaksi & hindari keterlambatan guna pertimbangan kenaikan limit otomatis. Info lebih lanjut, hubungi CS di 08041573348.

Salam hangat, Damian",2025-10-08 09:21:23,4.8.0
faadb973-572e-4cb7-92a1-a11390da6400,Rahmat Haitsam,https://play-lh.googleusercontent.com/a/ACg8ocLKv9x7wQD5vBsRBNlWSuIqEe3-MqGsNuOVZdvVpKOVlpS6UQ=mo,yeees,5,0,,2025-10-08 05:33:46,"Hi Kak Rahmat,

Terima kasih atas ratingnya :). Semoga Kredivo dapat memberikan kemudahan dan kenyamanan pembayaran transaksi Kakak. Jika memiliki kendala, silakan hubungi customer support di 08041573348 atau email ke support@kredivo.com menggunakan email yang terdaftar dan layanan live chat pada aplikasi.

Salam hangat,
Dina",2025-10-08 05:54:29,
4b77398d-1129-4643-bdb0-ab43a9f2d6c5,Djoko Rini,https://play-lh.googleusercontent.com/a-/ALV-UjXiZNesUlxOhRU24dARzCN8qt3CIUrKqYEZseKGcyHHe_QyspdNWA,mantap,5,0,4.8.0,2025-10-08 05:30:44,"Hi Kak Djoko,

Terima kasih atas ratingnya :). Semoga Kredivo dapat memberikan kemudahan dan kenyamanan pembayaran transaksi Kakak. Jika memiliki kendala, silakan hubungi customer support di 08041573348 atau email ke support@kredivo.com menggunakan email yang terdaftar dan layanan live chat pada aplikasi.

Salam hangat,
Dina",2025-10-08 05:43:47,4.8.0
697c001f-32ca-4cd2-96fe-12c5cea4d684,solehudin alghifari suhada,https://play-lh.googleusercontent.com/a-/ALV-UjWgdEmWp-0suAzKemFeHsTO9K8igNZ2GAGMKSP4rGVWF_aQLC0,sangat mudah menggunakan aplikasi ini,5,0,4.7.0,2025-10-08 04:54:52,"Hi Kak solehudin,

Terima kasih atas ratingnya :). Semoga Kredivo dapat memberikan kemudahan dan kenyamanan pembayaran transaksi Kakak. Jika memiliki kendala, silakan hubungi customer support di 08041573348 atau email ke support@kredivo.com menggunakan email yang terdaftar dan layanan live chat pada aplikasi.

Salam hangat,
Dina",2025-10-08 05:14:34,4.7.0
